原子序数,元素名,英文名,元素符号,相对原子质量,发现,状态,熔点,单位,沸点,单位,密度,单位,比热,单位,蒸发热,单位,熔化热,单位,导电率,单位,导热系数,单位
92,铀,Uranium,U,238.029,"1789年由 M.J. Klaproth （德国，伯林）发现，1841年由 W.M. Peligot （法国，巴黎）首次作为金属分离出。","一个非常重的，银白色放射性金属。",1132,"℃",4134,"℃",18.95,"g/cc，300K",0.12,"J/gK",477,"KJ/mol",8.52,"KJ/mol",0.038,"106/cm",0.276,"W/cmK"
93,镎,Neptunium,Np,237.0482,"1940年由 Edwin M. McMillan 和 Philip H. Abelson （美国，加利福尼亚，伯克利）制备。","人造放射性元素。",640,"℃",3902,"℃",20.2,"g/cc，300K",0.12,"J/gK",,"KJ/mol",5.19,"KJ/mol",0.00822,"106/cm",0.063,"W/cmK"
94,钚,Plutonium,Pu,NaN,"1940年由 G.T. Seaborg, A.C. Wahl 和 J.W. Kennedy（美国，加利福尼亚，伯克利）发现。","人造放射性元素。",640,"℃",3230,"℃",19.84,"g/cc，300K",0.13,"J/gK",344,"KJ/mol",2.84,"KJ/mol",0.00666,"106/cm",0.0674,"W/cmK"
95,镅,Americium,Am,NaN,"1944年由 Glen T. Seaborg, R.A. James, L.O. Morgan, 和 A. Ghiorso（美国，伊利诺斯州，芝加哥）发现。","人造放射性金属。",994,"℃",2607,"℃",13.67,"g/cc，300K",0.11,"J/gK",,"KJ/mol",14.4,"KJ/mol",0.022,"106/cm",0.1,"W/cmK"
96,锔,Curium,Cm,NaN,"1944年由 G.T. Seaborg, R.A. James 和 A. Ghiorso （美国，加利福尼亚，伯克利）制备。","人造放射性元素。",1067,"℃",3110,"℃",13.5,"g/cc，300K",,"J/gK",,"KJ/mol",15,"KJ/mol",,"106/cm",0.1,"W/cmK"
97,锫,Berkelium,Bk,NaN,"1949 年由S.G. Thompson, A. Ghiorso, 和 G.T. Seaborg （美国，加利福尼亚，伯克利）首次生产。","人造放射性元素。",986,"℃",,"℃",14.78,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
98,锎,Californium,Cf,NaN,"1950年由 S.G. Thompson, K. Street Jr., A. Ghiorso 和 G.T. Seaborg （美国，加利福尼亚，伯克利）制备。","人造放射性元素。",900,"℃",,"℃",15.1,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
99,锿,Einsteinium,Es,NaN,"从 G.R. Choppin, S.G. Thompson, A. Ghiorso 和 B.G. Harvey1952年在太平洋进行的热核爆炸碎片中发现。","人造放射性元素。",860,"℃",,"℃",,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
100,镄,Fermium,Fm,NaN," 从 G.R. Choppin, S.G. Thompson, A. Ghiorso 和 B.G. Harvey1952年在太平洋进行的热核爆炸碎片中发现。","人造放射性元素。",,"℃",,"℃",,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
101,钔,Mendelevium,Md,NaN,"1955年由 Albert Ghioso, B.G. Harvey, G.R. Choppin, S.G. Thompson 和 G.T. Seaborg （美国，加利福尼亚，伯克利）制备。","人造放射性金属。",,"℃",,"℃",,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
102,锘,Nobelium,No,NaN,"1958年由 A. Ghiorso, T. Sikkeland, J.R. Walton 和 G.T. Seaborg（美国，加利福尼亚，伯克利）最终识别出。","",,"℃",,"℃",,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
103,铹,Lawrencium,Lr,NaN,"1961年由 A. Ghiorso, T. Sikkeland, A.E. Larsh 和 R.M. Latimer （美国，加利福尼亚，伯克利）制备。","",,"℃",,"℃",,"g/cc，300K",,"J/gK",,"KJ/mol",,"KJ/mol",,"106/cm",0.1,"W/cmK"
